county_fips,county_name,state,dma_code,dma_name
31127,Nemaha,NE,652,OMAHA
31129,Nuckolls,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31131,Otoe,NE,652,OMAHA
31133,Pawnee,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31135,Perkins,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31137,Phelps,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31139,Pierce,NE,624,SIOUX CITY
31141,Platte,NE,652,OMAHA
31143,Polk,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31145,Red Willow,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31147,Richardson,NE,652,OMAHA
31149,Rock,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31151,Saline,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31153,Sarpy,NE,652,OMAHA
31155,Saunders,NE,652,OMAHA
31157,Scotts Bluff,NE,759,CHEYENNE-SCOTTSBLUFF
31159,Seward,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31161,Sheridan,NE,751,DENVER
31163,Sherman,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31165,Sioux,NE,759,CHEYENNE-SCOTTSBLUFF
31167,Stanton,NE,624,SIOUX CITY
31169,Thayer,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31171,Thomas,NE,740,NORTH PLATTE
31173,Thurston,NE,624,SIOUX CITY
31175,Valley,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31177,Washington,NE,652,OMAHA
31179,Wayne,NE,624,SIOUX CITY
31181,Webster,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31183,Wheeler,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31185,York,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
32001,Churchill,NV,811,RENO
32003,Clark,NV,839,LAS VEGAS
32005,Douglas,NV,811,RENO
32007,Elko,NV,770,SALT LAKE CITY
32009,Esmeralda,NV,811,RENO
32011,Eureka,NV,770,SALT LAKE CITY
32013,Humboldt,NV,811,RENO
32015,Lander,NV,811,RENO
32017,Lincoln,NV,839,LAS VEGAS
32019,Lyon,NV,811,RENO
32021,Mineral,NV,811,RENO
32023,Nye,NV,839,LAS VEGAS
