county_fips,county_name,state,dma_code,dma_name
27041,Douglas,MN,613,MINNEAPOLIS-SAINT PAUL
27043,Faribault,MN,613,MINNEAPOLIS-SAINT PAUL
27045,Fillmore,MN,611,ROCHESTER-MASON CITY-AUSTIN
27047,Freeborn,MN,611,ROCHESTER-MASON CITY-AUSTIN
27049,Goodhue,MN,613,MINNEAPOLIS-SAINT PAUL
27051,Grant,MN,613,MINNEAPOLIS-SAINT PAUL
27053,Hennepin,MN,613,MINNEAPOLIS-SAINT PAUL
27055,Houston,MN,702,LA CROSSE-EAU CLAIRE
27057,Hubbard,MN,613,MINNEAPOLIS-SAINT PAUL
27059,Isanti,MN,613,MINNEAPOLIS-SAINT PAUL
27061,Itasca,MN,676,DULUTH-SUPERIOR
27063,Jackson,MN,613,MINNEAPOLIS-SAINT PAUL
27065,Kanabec,MN,613,MINNEAPOLIS-SAINT PAUL
27067,Kandiyohi,MN,613,MINNEAPOLIS-SAINT PAUL
27069,Kittson,MN,724,FARGO-VALLEY CITY
27071,Koochiching,MN,676,DULUTH-SUPERIOR
27073,Lac Qui Parle,MN,613,MINNEAPOLIS-SAINT PAUL
27075,Lake,MN,676,DULUTH-SUPERIOR
27077,Lake of the Woods,MN,724,FARGO-VALLEY CITY
27079,Le Sueur,MN,613,MINNEAPOLIS-SAINT PAUL
27081,Lincoln,MN,725,SIOUX FALLS (MITCHELL)
27083,Lyon,MN,613,MINNEAPOLIS-SAINT PAUL
27085,McLeod,MN,613,MINNEAPOLIS-SAINT PAUL
27087,Mahnomen,MN,724,FARGO-VALLEY CITY
27089,Marshall,MN,724,FARGO-VALLEY CITY
27091,Martin,MN,737,MANKATO
27093,Meeker,MN,613,MINNEAPOLIS-SAINT PAUL
27095,Mille Lacs,MN,613,MINNEAPOLIS-SAINT PAUL
27097,Morrison,MN,613,MINNEAPOLIS-SAINT PAUL
27099,Mower,MN,611,ROCHESTER-MASON CITY-AUSTIN
27101,Murray,MN,725,SIOUX FALLS (MITCHELL)
27103,Nicollet,MN,737,MANKATO
27105,Nobles,MN,725,SIOUX FALLS (MITCHELL)
27107,Norman,MN,724,FARGO-VALLEY CITY
27109,Olmsted,MN,611,ROCHESTER-MASON CITY-AUSTIN
27111,Otter Tail,MN,724,FARGO-VALLEY CITY
27113,Pennington,MN,724,FARGO-VALLEY CITY
27115,Pine,MN,613,MINNEAPOLIS-SAINT PAUL
27117,Pipestone,MN,725,SIOUX FALLS (MITCHELL)
27119,Polk,MN,724,FARGO-VALLEY CITY
27121,Pope,MN,613,MINNEAPOLIS-SAINT PAUL
27123,Ramsey,MN,613,MINNEAPOLIS-SAINT PAUL
27125,Red Lake,MN,724,FARGO-VALLEY CITY
27127,Redwood,MN,613,MINNEAPOLIS-SAINT PAUL
27129,Renville,MN,613,MINNEAPOLIS-SAINT PAUL
27131,Rice,MN,613,MINNEAPOLIS-SAINT PAUL
27133,Rock,MN,725,SIOUX FALLS (MITCHELL)
27135,Roseau,MN,724,FARGO-VALLEY CITY
27137,Saint Louis,MN,676,DULUTH-SUPERIOR
27139,Scott,MN,613,MINNEAPOLIS-SAINT PAUL
27141,Sherburne,MN,613,MINNEAPOLIS-SAINT PAUL
27143,Sibley,MN,613,MINNEAPOLIS-SAINT PAUL
27145,Stearns,MN,613,MINNEAPOLIS-SAINT PAUL
27147,Steele,MN,613,MINNEAPOLIS-SAINT PAUL
27149,Stevens,MN,613,MINNEAPOLIS-SAINT PAUL
27151,Swift,MN,613,MINNEAPOLIS-SAINT PAUL
27153,Todd,MN,613,MINNEAPOLIS-SAINT PAUL
27155,Traverse,MN,613,MINNEAPOLIS-SAINT PAUL
27157,Wabasha,MN,613,MINNEAPOLIS-SAINT PAUL
27159,Wadena,MN,613,MINNEAPOLIS-SAINT PAUL
27161,Waseca,MN,613,MINNEAPOLIS-SAINT PAUL
27163,Washington,MN,613,MINNEAPOLIS-SAINT PAUL
27165,Watonwan,MN,737,MANKATO
27167,Wilkin,MN,724,FARGO-VALLEY CITY
27169,Winona,MN,702,LA CROSSE-EAU CLAIRE
27171,Wright,MN,613,MINNEAPOLIS-SAINT PAUL
27173,Yellow Medicine,MN,613,MINNEAPOLIS-SAINT PAUL
28001,Adams,MS,718,"JACKSON, MS"
28003,Alcorn,MS,640,MEMPHIS
28005,Amite,MS,716,BATON ROUGE
28007,Attala,MS,718,"JACKSON, MS"
28009,Benton,MS,640,MEMPHIS
28011,Bolivar,MS,647,GREENWOOD-GREENVILLE
28013,Calhoun,MS,673,COLUMBUS-TUPELO-WEST POINT
28015,Carroll,MS,647,GREENWOOD-GREENVILLE
28017,Chickasaw,MS,673,COLUMBUS-TUPELO-WEST POINT
28019,Choctaw,MS,673,COLUMBUS-TUPELO-WEST POINT
28021,Claiborne,MS,718,"JACKSON, MS"
28023,Clarke,MS,711,MERIDIAN
28025,Clay,MS,673,COLUMBUS-TUPELO-WEST POINT
28027,Coahoma,MS,640,MEMPHIS
28029,Copiah,MS,718,"JACKSON, MS"
28031,Covington,MS,710,HATTIESBURG-LAUREL
28033,DeSoto,MS,640,MEMPHIS
28035,Forrest,MS,710,HATTIESBURG-LAUREL
28037,Franklin,MS,718,"JACKSON, MS"
28039,George,MS,746,BILOXI-GULFPORT
28041,Greene,MS,686,MOBILE-PENSACOLA
28043,Grenada,MS,647,GREENWOOD-GREENVILLE
28045,Hancock,MS,622,NEW ORLEANS
28047,Harrison,MS,746,BILOXI-GULFPORT
28049,Hinds,MS,718,"JACKSON, MS"
28051,Holmes,MS,718,"JACKSON, MS"
28053,Humphreys,MS,718,"JACKSON, MS"
28055,Issaquena,MS,718,"JACKSON, MS"
28057,Itawamba,MS,673,COLUMBUS-TUPELO-WEST POINT
28059,Jackson,MS,746,BILOXI-GULFPORT
28061,Jasper,MS,710,HATTIESBURG-LAUREL
28063,Jefferson,MS,718,"JACKSON, MS"
28065,Jefferson Davis,MS,718,"JACKSON, MS"
28067,Jones,MS,710,HATTIESBURG-LAUREL
28069,Kemper,MS,711,MERIDIAN
28071,Lafayette,MS,640,MEMPHIS
28073,Lamar,MS,710,HATTIESBURG-LAUREL
28075,Lauderdale,MS,711,MERIDIAN
28077,Lawrence,MS,718,"JACKSON, MS"
28079,Leake,MS,718,"JACKSON, MS"
28081,Lee,MS,673,COLUMBUS-TUPELO-WEST POINT
28083,Leflore,MS,647,GREENWOOD-GREENVILLE
28085,Lincoln,MS,718,"JACKSON, MS"
28087,Lowndes,MS,673,COLUMBUS-TUPELO-WEST POINT
28089,Madison,MS,718,"JACKSON, MS"
28091,Marion,MS,710,HATTIESBURG-LAUREL
28093,Marshall,MS,640,MEMPHIS
28095,Monroe,MS,673,COLUMBUS-TUPELO-WEST POINT
